Gender,Marks,id
true,95,1
false,19,2
true,84,3
true,97,4
true,12,5
true,12,6
false,55,7
true,71,8
false,97,9
false,40,10
true,35,11
false,13,12
false,42,13
false,49,14
true,27,15
true,62,16
false,11,17
true,54,18
false,50,19
false,66,20
true,54,21
true,82,22
false,23,23
false,80,24
false,59,25
true,33,26
false,78,27
false,48,28
true,58,29
false,26,30
false,8,31
false,50,32
false,54,33
false,9,34
true,86,35
true,99,36
false,76,37
true,96,38
false,21,39
true,12,40
true,78,41
false,49,42
true,3,43
true,5,44
true,26,45
true,5,46
true,50,47
true,82,48
true,88,49
false,75,50
false,51,51
false,72,52
false,58,53
true,88,54
false,67,55
true,35,56
false,85,57
true,52,58
false,10,59
true,25,60
true,80,61
true,87,62
false,40,63
true,51,64
true,21,65
false,55,66
false,90,67
true,16,68
true,1,69
false,85,70
true,69,71
false,74,72
false,3,73
false,18,74
false,67,75
false,91,76
true,73,77
false,98,78
false,53,79
false,89,80
false,51,81
false,47,82
false,89,83
true,91,84
true,62,85
true,93,86
false,68,87
false,12,88
true,19,89
false,6,90
true,54,91
false,76,92
false,10,93
false,48,94
false,88,95
true,39,96
false,24,97
true,69,98
false,63,99
false,65,100
